Trial,MAE,Running_Min
1,42.87322961770905,42.87322961770905
2,77.71485566878435,42.87322961770905
3,43.138935042199186,42.87322961770905
4,48.076969916343394,42.87322961770905
5,59.96429534116672,42.87322961770905
6,46.89854917622534,42.87322961770905
7,44.905327877396644,42.87322961770905
8,73.30465467543334,42.87322961770905
9,49.35926028507192,42.87322961770905
10,142.29279789467958,42.87322961770905
11,43.48350328155181,42.87322961770905
12,42.94272016031861,42.87322961770905
13,43.192983971842125,42.87322961770905
14,42.98541532782426,42.87322961770905
15,42.260506489147325,42.260506489147325
16,42.06065974818449,42.06065974818449
17,44.236858023152365,42.06065974818449
18,47.17160540761049,42.06065974818449
19,42.15813306747358,42.06065974818449
20,43.052286359277964,42.06065974818449
21,41.718389558535755,41.718389558535755
22,41.79194652848062,41.718389558535755
23,42.34589740488091,41.718389558535755
24,41.69251488562528,41.69251488562528
25,41.82490051942414,41.69251488562528
26,64.02796004740391,41.69251488562528
27,42.27524892778242,41.69251488562528
28,41.77972842656894,41.69251488562528
29,41.56962080749025,41.56962080749025
30,41.82094786008426,41.56962080749025
31,41.950061433321046,41.56962080749025
32,41.71767376982054,41.56962080749025
33,77.69029371081076,41.56962080749025
34,42.77614605882166,41.56962080749025
35,43.86303900683339,41.56962080749025
36,41.710346499134715,41.56962080749025
37,41.95076306394603,41.56962080749025
38,41.899195762394335,41.56962080749025
39,88.4899708834587,41.56962080749025
40,42.189642747973004,41.56962080749025
41,41.71727487615582,41.56962080749025
42,41.70542717634618,41.56962080749025
43,41.896816281894026,41.56962080749025
44,41.84382584989467,41.56962080749025
45,41.757492084794585,41.56962080749025
46,41.96205965554761,41.56962080749025
47,41.99009232202267,41.56962080749025
48,41.562667016541646,41.562667016541646
49,44.51305811968555,41.562667016541646
50,41.60037576829472,41.562667016541646
